"action.activitystream.comment","コメントを書く"
"action.save","保存"
"action.search.advancedsearchoptions","高度な検索オプション"
"action.search.changesearchcriteria","検索条件を変更"
"action.search.deleteall","すべて削除"
"action.search.downloadall","すべてダウンロード"
"action.search.nextresults","次の結果 >"
"action.search.previousresults","< 前の結果"
"action.search.runinbackground","バックグラウンドで実行"
"action.search.savesearchcriteria","検索条件を保存"
"action.search.time.lastday","24時間"
"action.search.time.lasthour","1時間"
"action.search.time.lasttenmins","10分間"
"action.showmore","もっと見る"
"action.start","起動"
"action.stop","停止"
"action.systemmonitor.hidegraphs","グラフを隠す"
"action.systemmonitor.showgraphs","グラフを表示"
"action.usewhativetyped","入力したものを使用"
"action.watchlist.addsecondshift","第2シフトに追加"
"action.watchlist.createschedule","新規スケジュールを作成"
"action.watchlist.removeschedule","スケジュールを消去"
"action.watchlist.removesecondshift","第2シフトを消去"
"breakline.lookuptables","|"
"button.activitystream.shownotifications","通知"
"button.add","追加"
"button.apply","適用"
"button.cancel","キャンセル"
"button.change","変更"
"button.close","閉じる"
"button.collapseall","すべて折りたたむ"
"button.component.filter.alarm","アラーム"
"button.component.filter.commpointstopped","停止したコミュニケーションポイントと一緒に"
"button.component.filter.notificationsuspended","一時停止している通知"
"button.component.filter.stopped","停止"
"button.component.filter.warning","警告"
"button.component.notificationthresholds.apply","適用"
"button.component.notificationthresholds.remove","消去"
"button.core.certificate.private.key.regenerate","証明書を再発行"
"button.core.identity.deleteattribute","削除"
"button.core.identity.internal.add.namespace","名前空間を追加"
"button.core.identity.internal.delete.namespace","名前空間を消去"
"button.core.identity.namespace.add","名前空間を追加"
"button.core.identity.namespace.delete","名前空間を削除"
"button.core.identity.newattribute","新規..."
"button.core.identity.type.addtype","タイプを追加"
"button.core.identity.type.deletetype","タイプを削除"
"button.createnew","新規作成"
"button.database.schema.createschema","スキーマを作成"
"button.database.schema.upgradeschema","スキーマを更新"
"button.delete","削除"
"button.deselectall","すべて選択解除"
"button.discardchanges","変更を破棄"
"button.disclaimer.accept","同意する"
"button.disclaimer.cancel","キャンセル"
"button.disclaimer.pre.accept","条件を承諾"
"button.disconnect","切断"
"button.download","ダウンロード"
"button.edit","編集"
"button.expandall","すべて展開する"
"button.import","インポート"
"button.javascriptcounters.downloadtool","ツールをダウンロード"
"button.javascriptcounters.uploadcreatedfile","作成したファイルをアップロード"
"button.log.export","エクスポート"
"button.login","ログイン"
"button.login.page","ログイン・ページへ移動"
"button.logout","ログアウト"
"button.logsearch.submit","検索"
"button.mail.test","テスト"
"button.message.canceltracking","トラッキングをキャンセル"
"button.message.delete","削除"
"button.message.edit","編集"
"button.message.eventpath.alwaysshowoutputs","アウトプットを常に表示"
"button.message.redirect","転送"
"button.message.redirectcopy","コピーを転送"
"button.message.redirecteditedcopy","修正したコピーを転送"
"button.message.reinject","再投入"
"button.message.release","リリース"
"button.message.reprocess","再処理"
"button.message.resend","再送"
"button.no","いいえ"
"button.notificationlevel.alarms","アラーム"
"button.notificationlevel.escalations","エスカレーション"
"button.notificationlevel.warnings","警告"
"button.ok","はい"
"button.overwrite","上書き"
"button.password.change","パスワードの変更"
"button.redirect","転送"
"button.redirectcopy","コピーを転送"
"button.reinject","再投入"
"button.release","リリース"
"button.remove","消去"
"button.reprocess","再処理"
"button.request.password.reset","パスワード・リセットを要求"
"button.resend","再送"
"button.resettodefault","デフォルトに戻す"
"button.restore","リストア"
"button.resumenotifications","通知を再開"
"button.search","検索"
"button.selectall","すべて選択"
"button.suspendnow","すぐに一時停止"
"button.upload.logo","ロゴをアップロード"
"button.yes","はい"
"checkbox.lookupdetails.casesensitive","大文字と小文字を区別する"
"checkbox.remember.me","このコンピュータにこのユーザー情報を保存"
"com.orchestral.core.identity.source.api_6_4.identityclass.identity.name","アイデンティティ"
"com.orchestral.core.identity.source.api_6_4.identityclass.individual.name","個人"
"com.orchestral.core.identity.source.api_6_4.identityclass.individual_at_organization.name","個人@所属組織"
"com.orchestral.core.identity.source.api_6_4.identityclass.organization.name","組織"
"com.orchestral.core.identity.source.api_6_4.identityclass.patient.name","患者"
"com.orchestral.core.identity.source.api_6_4.identityclass.user.name","ユーザー"
"com.orchestral.core.scheduler.ui.unit.day","日"
"com.orchestral.core.scheduler.ui.unit.hour","時"
"com.orchestral.core.scheduler.ui.unit.month","月"
"com.orchestral.core.scheduler.ui.unit.year","年"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.acceptednewadminconnection","{0} から新しい管理者接続を受け入れました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.acquiredcommitlockforsession","セッション {0} のコミット・ロックを取得しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.adaptercannotbenull","adapter を null にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addcryptokeycommandname","暗号キーを追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.adddefinitioncommandname","定義を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.adddefinitiontoroutecommandname","ルートに定義を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addedgroup","グループ ''{0}'' を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addeduser","ユーザー ''{0}'' を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addeduserstogroup","ユーザー ''{0}'' を ''{1}'' グループに追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addgroupcommandname","グループ追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addingdefinition","定義 {0}, {1}, {2}, {3} を追加しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addingdeliveryagentsnotsupported","配信エージェントの動的追加はサポートされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addinginputcommpointforroute","インプットのコムポイント ''{0}'' をルート ''{1}'' に追加しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addingoutputcommpointforroute","アウトプットのコムポイント ''{0}'' をルート ''{1}'' に追加しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addinputcommpointforroutecommandname","ルート・コマンドにインプットのコムポイントを追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addoutputcommpointforroutecommandname","ルートにアウトプットのコムポイントを追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addprivatekeycommandname","秘密鍵を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addschemecommandname","スキーマを追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addtrustedcertcommandname","信頼できる証明書を追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.addusercommandname","ユーザーを追加"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.adminmanagernotrunning","アドミン・マネージャーが実行中でないため、コマンド{0}の処理はできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.adminsessiontimedout","アドミン・セッションがタイムアウト"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.aliasisnotaprivatekey","指定の秘密鍵エイリアス ''{0}'' は秘密鍵ではありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.aliaswasnotfound","指定の秘密鍵エイリアス ''{0}'' はみつかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheradminsessionholdcommpointlock","別のアドミン・セッションがコミュニケーション・ポイントのロックを保持中のため、Rhapsodyの全てを取得できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheradminsessionholdslock","別のアドミン・セッションがロックを保持中のため、Rhapsodyの全てを取得できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheradminsessionholdsroutelock","別のアドミンセッションがルートのロックを保持中のため、Rhapsodyのトータル・ロックを取得できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheradminsessionownstotallock","別のアドミン・セッションが所有中のため、Rhapsodyのトータル・ロックを取得できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheruseralreadycheckedoutcomponent","別のユーザーが既にこのコンポーネントをチェックアウトしたため、チェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.anotheruserhasusermanagercheckedout","別の人がすでにこのユーザー・マネージャーをチェックアウトしたため、チェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.authenticationerror","''{1}'' に対する {0} からの認証エラー"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.authenticationfailedforuser","ユーザー ''{1}'' に対する {0} からの認証は失敗しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.authenticationfailedunknownuser","ユーザー ''{1}'' に対する {0} からの認証は失敗しました。 {2}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.badlengthreadingstring","読み取り文字列 ''{0}'' の長さは正しくありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.broadcastingeventwithparams","次のパラメータでイベント {0} をブロードキャストしています： {1}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.canchangepasswordcommandname","パスワードを変更可能"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotbeserialised","内部通知スキームをシリアライズできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotcheckoutuncommittedlookup","コミットしていない新規作成のルックアップテーブルをチェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotcheckoutuncommittedwebservice","コミットしていない新規作成のWebサービスをチェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotcheckoutwsnolock","別のセッションがロックを保持しているため、Webサービス ''{0}'' をチェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotcheckoutwsuserstorenolock","別のセッションがロックを保持しているため、Webサービスのユーザーストアをチェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotconfigurefilterdoesnotexist","フィルタ ''{0}' 'は存在しないため設定できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotdeleteasdoesnotexist","警告、ファイル ''{0}'' は存在しないため削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotdeletefilterdoesnotexist","フィルタ ''{0}'' は存在しないため削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotdeletewsnolock","このセッションはチェック・アウトのロックを保持していないため、Webサービス ''{0}'' をチェックアウトできません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotfindnumberofcomponents","登録データの設定にコンポーネントの数が見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotgetserviceinfoforws","Webサービス ''{0}'' のサービス情報を読み出すことはできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotgetwsdllocationforuncommitted","コミットしていない新規作成のWebサービスのWSDLロケーションを取得できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotinstantiatenewinstances","内部デリバリ・エージェント・タイプは新規インスタンスを作成できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotmodifycomponentnotfound","コンポーネントが見つからないため、を修正できません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotmodifywsnolock","このセッションはWebサービスのチェックアウトのロックを保持していないため、修正できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotmodifywsuserstorenolock","このセッションはチェックアウトのロックを保持していないため、Webサービスのユーザーストアを修正できません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotmoveauxfiletodefinition","補助ファイルを定義に移動すること、またはその逆はサポートしていません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotmovefilesbetweenresourcesets","ソースセット間でファイルを移動することはサポートされていません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotreleaselockforuncommittedlookup","コミットしていない新規作成のルックアップテーブルのロックをリリースできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotreleaselockforuncommittedws","コミットしていない新規作成のWebサービスのロックをリリースできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotreleaselockwsasnotholding","このセッションはWebサービス ''{0}'' のチェックアウトのロックを保持していないため、リリースできません "
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotreleaselockwsuserstoreasnotholding","このセッションはWebサービス・ユーザーストアのチェックアウトのロックを保持していないため、リリースできません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotrestartuncommittedwebservice","コミットしていない新規作成のWebサービスを再起動できません。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.cannotsetasindividualproperties","フィルタ・ルーティング情報を個別プロパティとして設定できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.canonlydeletefromconfigdirhierarchy","設定ディレクトリ階層からしかファイルを削除できません。ファイル''{0}''ではありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.canonlydeletefromhierarchy","設定ディレクトリ階層からしかファイルを削除できません。ファイル''{0}''ではありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.canonlyeditaccessgroups","アクセスグループのみ編集できます"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.certchainforprivkeynotfound","プライベートキー ''{0}'' の証明書チェーンは見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.changedpasswordforuser","ユーザー ''{0}'' のパスワードを変更しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedincommpoint","コミュニケーションポイント ''{0}'' をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedindefinition","定義 ''{0}'' をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedindeliveryagentglobals","配信エージェント・グローバル をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedinentireconfig","すべての設定をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedinnotificationscheme","通知スキーム''{0}'' をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedinroute","ルート ''{0}'' をチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedinusermanager","ユーザーマネージャーをチェックインしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutcommpoint","コミュニケーションポイント ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutdefinition","定義 ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutdeliveryagentglobals","配信エージェント・グローバル をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutentireconfig","全ての設定をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutlookuptable","ルックアップ・テーブル ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutnotificationscheme","通知スキーム ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutroute","ルート ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutusermanager","ユーザーマネージャーをチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutwebservice","Webサービス ''{0}'' をチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkedoutwebservicesuserstore","Webサービスのユーザーストアをチェックアウトしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkindefinitioncommandname","定義をチェックインします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkindeliveryagentglobalscommandname","配信エージェント・グローバル をチェックインします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkinfailednotificationschemenotfound","通知スキームが見つからないため、チェックインできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkinnotificationschemecommandname","通知スキームをチェックインします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkinusermanagercommandname","ユーザーマネージャーをチェックインします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutdefinitioncommandname","定義をチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutdeliveryagentglobalscommandname","配信エージェント・グローバルをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutfailedcommpointnotfound","コミュニケーションポイントがみつからないため、チェックインできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutfailednotificationschemenotfound","通知スキームが見つからないため、チェックインできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutfailedroutenotfound","ルートが見つからないため、チェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutlookuptablecommandname","ルックアップ・テーブルをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutnotificationschemecommandname","通知スキームをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutusermanagercommandname","ユーザーマネージャーをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutwebservicecommandname","Webサービスをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.checkoutwebservicesuserstorecommandname","Webサービスのユーザーストアをチェックアウトします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.clearcheckoutdefinitioncommandname","チェックアウト定義をクリアします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.clearconfigurationcommandname","フィルタ・マネージャー設定をロードします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.clearedcheckedoutdefinition","チェックアウト定義 ''{0}'' をクリアしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.closingconnection","接続を閉じています: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.closingopenconnections","アドミン・サービスが全ての接続を閉じています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.closingsocketcommandthreadconnection","ソケット・コマンド・スレッドの接続を閉じています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.collectortypepropertynotsupported","エラー：　コレクター・タイプ・プロパティ ''{0}'' はサポートされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.commandnotinitialised","実行中のエラー：　コマンド ''{0}'' は初期化されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.commpointtypepropertynotsupported","エラー：　コミュニケーションポイント・タイプ・プロパティ ''{0}'' はサポートされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.commpointusingnotificationschemes","コミュニケーションポイント ""{0}"" はこちらの通知スキームを使います: {1}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.compileconditionalconnectorcommandname","条件付きコネクターをコンパイルします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.compiledconditioncannotbenull","compiledCondition を null にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.compilercannotbenull","compiler を null にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.componentguidnotfound","GUID ''{0}'' のコンポーネントは見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.configurecommunicationpointcommandname","コミュニケーションポイントの設定"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.configurefiltercommandname","フィルタの設定"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.configuringfilterwithconfig","設定 {1} のフィルタ ''{0}'' を設定しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.connectiondroppedbyclient","クライアントが接続を取り消しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.connectortestingservicecannotbenull","connectorTestingService を null にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotcheckinroutedoesnotexist","ルート ''{0}'' は存在しないため、チェックインできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotdeletefilterdoesnotexist","フィルタ ''{0}'' は存在しないため、削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotdeletekeystoreentry","キーストア・エントリーを削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotdeleteroutedoesnotexist","ルート ''{0}'' は存在しないため、削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotdeleteschemedoesnotexist","通知スキームは存在しないため、削除できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotfindcomponentbygivenid","提供された次のidでコンポーネントが見つかりません: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotfindcomponentbyid","idでコンポーネントはみつかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotfindcomponentwithgivenid","提供された id でコンポーネントが見つかりません: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotfinddestination","送り先 ''{0}'' は見つかりませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotparseparam","引数を解析できません。Integer ではない値を受け取りました: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotstartroutedoesnotexist","ルート ''{0}'' は存在しないため、起動できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.couldnotstoproutedoesnotexist","ルート ''{0}'' は存在しないため、停止できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.createdcommand","コマンドを作成しました: ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.creatednewlookuptable","新規ルックアップ・テーブルを作成しました: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.createdwebservice","新規Webサービスを作成しました: ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.creatingfilteroftype","タイプ　{1}　のフィルタ　{0}　を作成しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.creatingroute","ルート　''{0}''　を作成しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.definepropertyforroutecommandname","ルートのプロパティを定義します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletecommunicationpointcommandname","コミュニケーションポイントを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deleteconfigfilecommandname","設定ファイルを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletecryptokeycommandname","暗号キーを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletedefinedpropertyfromroutecommandname","ルートから定義済みのプロパティを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletedefinitioncommandname","定義を削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletedefinitionfromroutecommandname","ルートから定義を削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletedgroup","グループ ''{0}'' を削除しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deleteduser","ユーザー ''{0}'' を削除しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletedusersfromgroup","''{1}'' グループからユーザー {0} を消去しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletefiltercommandname","フィルタを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletelookuptablecommandname","ルックアップ・テーブルを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletelookuptablefailurescommandname","ルックアップ・テーブル失敗を削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deletenotificationschemecommandname","通知スキームを削除します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.deleteprivatekeycommandname","プライベートキーを削除します"
